Date,Open,High,Low,Close,Adj Close,Volume
2023-10-09,0.06100999936461449,0.06103000044822693,0.0582600012421608,0.058779001235961914,0.058779001235961914,241183528
2023-10-10,0.058779001235961914,0.05920400097966194,0.05860799923539162,0.05902500078082085,0.05902500078082085,123311323
2023-10-11,0.05904100090265274,0.05945400148630142,0.057812999933958054,0.058469999581575394,0.058469999581575394,146066511
2023-10-12,0.058469999581575394,0.05849500000476837,0.05746600031852722,0.05789700150489807,0.05789700150489807,116644185
2023-10-13,0.05789700150489807,0.05875600129365921,0.05782400071620941,0.05839800089597702,0.05839800089597702,139290300
2023-10-14,0.058400001376867294,0.05993000045418739,0.058400001376867294,0.05985900014638901,0.05985900014638901,112567930
2023-10-15,0.059859998524188995,0.059859998524188995,0.05912499874830246,0.05934999883174896,0.05934999883174896,105304368
2023-10-16,0.05935699865221977,0.061225999146699905,0.05935100093483925,0.060113999992609024,0.060113999992609024,255254744
2023-10-17,0.060109999030828476,0.060155998915433884,0.05880099907517433,0.059119999408721924,0.059119999408721924,154163593
2023-10-18,0.059115998446941376,0.05927399918437004,0.058361999690532684,0.05867300182580948,0.05867300182580948,113718362
2023-10-19,0.058667998760938644,0.058883000165224075,0.05801299959421158,0.058883000165224075,0.058883000165224075,119806282
2023-10-20,0.05887800082564354,0.06033699959516525,0.05869999900460243,0.05996499955654144,0.05996499955654144,154146216
2023-10-21,0.05996499955654144,0.06136300042271614,0.059571001678705215,0.061188001185655594,0.061188001185655594,149488431
2023-10-22,0.06118899956345558,0.06166699901223183,0.06056300178170204,0.06159599870443344,0.06159599870443344,152154020
2023-10-23,0.061827998608350754,0.06723800301551819,0.06176900118589401,0.06708499789237976,0.06708499789237976,618990461
2023-10-24,0.06711100041866302,0.06976699829101562,0.06512399762868881,0.06655599921941757,0.06655599921941757,676497484
2023-10-25,0.06656400114297867,0.06945399940013885,0.06504900008440018,0.06836099922657013,0.06836099922657013,536305756
2023-10-26,0.06836400181055069,0.07488799840211868,0.06813199818134308,0.07186699658632278,0.07186699658632278,1010931815
2023-10-27,0.07187200337648392,0.07217899709939957,0.06762400269508362,0.06788100302219391,0.06788100302219391,468362462
2023-10-28,0.0678820013999939,0.069691002368927,0.06770999729633331,0.06900099664926529,0.06900099664926529,246982558
2023-10-29,0.06900200247764587,0.07008399814367294,0.06791000068187714,0.06935899704694748,0.06935899704694748,203013207
2023-10-30,0.06935899704694748,0.07020000368356705,0.06827399879693985,0.06965000182390213,0.06965000182390213,292736698
2023-10-31,0.06964799761772156,0.07072199881076813,0.06696999818086624,0.06827700138092041,0.06827700138092041,474946795
2023-11-01,0.06827899813652039,0.06955400109291077,0.06612899899482727,0.06884100288152695,0.06884100288152695,461539028
2023-11-02,0.06885900348424911,0.07070399820804596,0.06718599796295166,0.06793399900197983,0.06793399900197983,501730943
2023-11-03,0.06793099641799927,0.0682080015540123,0.06663999706506729,0.06814400106668472,0.06814400106668472,282752934
2023-11-04,0.06814700365066528,0.06925699859857559,0.06805899739265442,0.06907899677753448,0.06907899677753448,203958701
2023-11-05,0.06907899677753448,0.07159899920225143,0.06898099929094315,0.07122399657964706,0.07122399657964706,447538899
2023-11-06,0.07122399657964706,0.076385997235775,0.07062099874019623,0.07638099789619446,0.07638099789619446,707371164
2023-11-07,0.07638899981975555,0.07638899981975555,0.07189799845218658,0.07351800054311752,0.07351800054311752,789220960
2023-11-08,0.07351700216531754,0.07668100297451019,0.07302699983119965,0.07548099756240845,0.07548099756240845,531673694
2023-11-09,0.07547400146722794,0.07773599773645401,0.07055699825286865,0.07346100360155106,0.07346100360155106,964429145
